EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
874933,NEW MADRID CO.,BROADWATER,03/02/2020,2215,Tornado, ,EF0,0,0,0,0,MO,CST-6, ,145675,C,143,PAH,0,0,Storm Chaser, ,3.06,50,1,ESE,1,W,RISCO,03/02/2020,2218,36.57,-89.9,36.5712,-89.8449,"A storm chaser captured a picture of a narrow rope-like tornado illuminated by lightning. The tornado lasted approximately three minutes. The track was over flat, open farm fields that were not planted. Visible evidence of damage was not located.","A series of discrete thunderstorms, a few of which displayed supercell characteristics, moved east across southeast Missouri during the evening. A couple of the storms produced hail up to the size of ping pong balls, and an EF-0 tornado was observed in southern New Madrid County. This outbreak of storms occurred in a strong west-southwest flow ahead of a 500 mb shortwave over the Plains states. A southwest wind flow up to 30 knot at 850 mb provided some moisture for the storms. At the surface, a low pressure center moved east-northeast from the Ozarks to the lower Ohio Valley. A frontal boundary extending east-northeast from the low provided a focus for the storms.",1
875076,CARTER CO.,ELLSINORE,03/12/2020,1617,Tornado, ,EF0,0,0,5000,0,MO,CST-6, ,145687,C,35,PAH,0,0,NWS Storm Survey, ,0.42,75,5,SE,6,SE,ELLSINORE,03/12/2020,1618,36.8794,-90.6777,36.8748,-90.6726,"A few trees and tree limbs were blown down along the brief track that crossed Highway B. Peak winds were estimated near 75 mph based on a NWS damage survey.","A supercell thunderstorm intensified over the Ozark foothills of southeast Missouri and weakened as it crossed the city of Poplar Bluff. This supercell thunderstorm reached its maximum intensity in northwest Butler County, between the cities of Ellsinore and Poplar Bluff. At its strongest, the storm spawned two weak tornadoes and baseball-size hail. The storm formed ahead of a cold front that trailed southwest from a low pressure center over central Missouri. Steep mid-level lapse rates of 8.5 degrees C/km were sampled by the 18z sounding from Springfield, MO. These steep lapse rates favored large hail. Dew points in the low 60's and afternoon heating contributed to a corridor of 1000 to 1500 mixed-layer capes along and ahead of the front. This moderate instability, combined with effective wind shear magnitudes of 50 to 60 knots, favored supercell development.",2
875077,BUTLER CO.,STRINGTOWN,03/12/2020,1620,Tornado, ,EF0,0,0,5000,0,MO,CST-6, ,145687,C,23,PAH,0,0,NWS Storm Survey, ,0.6,100,8,NNW,7,NNW,STRINGTOWN,03/12/2020,1621,36.8571,-90.6234,36.8527,-90.6141,"A few trees and tree limbs were down along PP Highway and County Roads 415 and 426. Peak winds were estimated near 75 mph based on a NWS damage survey.","A supercell thunderstorm intensified over the Ozark foothills of southeast Missouri and weakened as it crossed the city of Poplar Bluff. This supercell thunderstorm reached its maximum intensity in northwest Butler County, between the cities of Ellsinore and Poplar Bluff. At its strongest, the storm spawned two weak tornadoes and baseball-size hail. The storm formed ahead of a cold front that trailed southwest from a low pressure center over central Missouri. Steep mid-level lapse rates of 8.5 degrees C/km were sampled by the 18z sounding from Springfield, MO. These steep lapse rates favored large hail. Dew points in the low 60's and afternoon heating contributed to a corridor of 1000 to 1500 mixed-layer capes along and ahead of the front. This moderate instability, combined with effective wind shear magnitudes of 50 to 60 knots, favored supercell development.",3
878298,SALINE CO.,NORTON,04/24/2020,1308,Tornado, ,EF0,0,0,0,0,MO,CST-6, ,146167,C,195,EAX,0,0,Public, ,0.02,50,2,WNW,2,WNW,NORTON,04/24/2020,1308,39.21,-93.31,39.21,-93.31,"A landspout formed near Malta Bend. After the office received a couple reports of a funnel cloud underneath new convection some photos were sent to the office via Twitter of a broad dust swirl that extended upward to the cloud base. No damage occurred as a result of this weak and brief landspout.","On the afternoon of April 24, 2020 scattered convection formed across central Missouri. Early in the storm formation period one of these storms produced a brief landspout that was photographed by some passers-by. No damage was reported with this tornado.",4
883855,NEW MADRID CO.,CONRAN,05/03/2020,1256,Tornado, ,EF1,0,0,500000,0,MO,CST-6, ,147019,C,143,PAH,0,0,NWS Storm Survey, ,5.84,150,3,NNW,2,ESE,MARSTON,05/03/2020,1301,36.523,-89.6631,36.5105,-89.5591,"The EF-1 tornado damaged or destroyed several farm buildings. The farm buildings included large metal storage buildings. The concrete anchors of a shed were pulled from the ground. The tornado cut through the city of Marston, where the city hall and an apartment building were partially unroofed. At least three power poles were broken. Numerous trees were uprooted. The discernable tornado path ended in the Mississippi River flood plain. Peak winds were estimated near 95 mph.","Numerous reports of wind damage and an isolated tornado accompanied a squall line of thunderstorms that moved rapidly east-southeast. The wind damage was mainly along and south of a line from Van Buren to Greenville to Sikeston. The atmosphere was moderately unstable, with cape values on the order of 1500 to 2000 J/kg. The relatively compact but organized and vigorous convective system maintained intensity as it progressed east to the Mississippi River. The damaging wind events occurred along and south of a surface frontal boundary, where dew points were in the mid 60's.",5
884047,CARTER CO.,GRANDIN,05/04/2020,1523,Tornado, ,EF0,0,0,75000,0,MO,CST-6, ,147073,C,35,PAH,0,0,NWS Storm Survey, ,4.04,50,2,W,2,ESE,GRANDIN,05/04/2020,1529,36.8328,-90.8699,36.8184,-90.7991,"The EF-0 tornado along the southern border of Carter County contained estimated peak winds of 85 mph, uprooting or damaging dozens of trees along its path. On Highway 21 between Grandin and the Ripley County line, the tornado pushed over several wooden electrical poles. The tornado also removed a small section of the roof of a manufactured home. The tornado was along the northern edge of a macroburst that was primarily over northern Ripley County.","Two small but intense bowing thunderstorm clusters moved rapidly east/southeastward across southeast Missouri during the late afternoon hours. Damage surveys confirmed a brief EF-0 tornado, however the most noteworthy events were two macrobursts containing peak winds in the 95 to 110 mph range. Flash flooding of low water crossings  occurred due to repeated thunderstorm activity over the Ozark foothills. Although the bowing clusters of storms resided in relatively stable air to the north of a stationary front over western Tennessee and central Arkansas, occasional damaging wind gusts occurred due to their well-organized nature.",6
883827,BUCHANAN CO.,HALLS,05/25/2020,1330,Tornado, ,EF0,0,0,0,0,MO,CST-6, ,147016,C,21,EAX,0,0,NWS Employee, ,0.01,20,1,SSW,1,SSW,HALLS,05/25/2020,1330,39.61,-94.99,39.61,-94.99,"At least two reports of a brief tornado came to the office, one of which was from an off duty National Weather Service employee. No damage was reported from this tornado.","Two rounds of severe weather formed on May 25th. The first round produced a weak and brief tornado that was witnessed, but produced no damage. The second round later in the evening mainly produced some scattered minor flash flooding events and strong winds that produced minor damage.",7
896592,JACKSON CO.,LAKE TAPAWINGO,06/04/2020,120,Tornado, ,EF0,0,0,0,0,MO,CST-6, ,148826,C,95,EAX,0,0,Emergency Manager, ,5.69,40,2,S,4,N,COCKRELL,06/04/2020,133,39.0036,-94.324,38.9386,-94.2589,"A strong QLCS came through the Kansas City metro during the early morning hours on June 4. This QLCS produced a brief tornado in the Lake Lotawana area. The damage from this QLCS mesovortex tornado was minor.","Two rounds of severe storms came through the Kansas City metro area on back to back nights, both taking place late in the evening and lasting through the overnight hours. Both events were nearly identical in evolution, with a strong QLCS each night producing scattered wind damage. The June 4 QLCS produced a couple weak and brief EF-0 tornadoes that did some minor damage.",8
896593,CASS CO.,ARCHIE,06/04/2020,156,Tornado, ,EF0,0,0,0,0,MO,CST-6, ,148826,C,37,EAX,0,0,Emergency Manager, ,1.15,40,1,E,2,ESE,ARCHIE,06/04/2020,159,38.4832,-94.3474,38.472,-94.3317,"A QLCS mesovortex tornado formed within an overnight squall line in rural Cass County. This tornado did minimal damage to trees and structures as it moved into far northern Bates County.","Two rounds of severe storms came through the Kansas City metro area on back to back nights, both taking place late in the evening and lasting through the overnight hours. Both events were nearly identical in evolution, with a strong QLCS each night producing scattered wind damage. The June 4 QLCS produced a couple weak and brief EF-0 tornadoes that did some minor damage.",9
896594,BATES CO.,CRESCENT HILL,06/04/2020,159,Tornado, ,EF0,0,0,0,0,MO,CST-6, ,148826,C,13,EAX,0,0,Emergency Manager, ,0.63,40,3,NNE,3,NNE,CRESCENT HILL,06/04/2020,200,38.4719,-94.3316,38.4658,-94.3229,"This is a continuation of the brief QLCS mesovortex tornado that  formed within an overnight squall line in rural Cass County. This tornado did damage to trees and structures as it moved into far northern Bates County, with the most significant damage occurring in Archie where a large tree fell into a house.","Two rounds of severe storms came through the Kansas City metro area on back to back nights, both taking place late in the evening and lasting through the overnight hours. Both events were nearly identical in evolution, with a strong QLCS each night producing scattered wind damage. The June 4 QLCS produced a couple weak and brief EF-0 tornadoes that did some minor damage.",10
906125,HOLT CO.,OREGON,06/09/2020,1903,Tornado, ,EF0,0,0,0,0,MO,CST-6, ,150293,C,87,EAX,0,0,Public, ,0.01,25,4,N,4,N,OREGON,06/09/2020,1903,40.0401,-95.1604,40.0401,-95.1604,"The office received several videos and photos of what appeared to be a brief tornado between Oregon and Mound City, near I-29. No damage was reported.","A brief tornado formed near I-29 close to the town of Oregon, Missouri. This tornado was filmed, so while video evidence exists, there was no reported damage from this brief tornado. Ongoing moderate to heavy rain caused some roads to be  closed in central Missouri through most of the day.",11
