state,answer_set,race,who_vote_for,count,n_respondents,pct_of_respondents
0_ALL_STATES,all-surveys,White,Donald J. Trump,8178,13290,0.6153498871331828
0_ALL_STATES,all-surveys,Black or African American,Donald J. Trump,2714,6391,0.42465967767172585
0_ALL_STATES,all-surveys,Hispanic or Latino,Donald J. Trump,1884,4842,0.38909541511771994
0_ALL_STATES,all-surveys,White,Joe Biden,1571,13290,0.118209179834462
0_ALL_STATES,all-surveys,Black or African American,Joe Biden,1474,6391,0.2306368330464716
0_ALL_STATES,all-surveys,Hispanic or Latino,Joe Biden,1381,4842,0.285212722015696
0_ALL_STATES,all-surveys,White,Third-Party Candidate,1377,13290,0.1036117381489842
0_ALL_STATES,all-surveys,White,Wouldn't vote,1298,13290,0.09766741911211436
NC,all-surveys,White,Donald J. Trump,1096,1503,0.729208250166334
AZ,all-surveys,White,Donald J. Trump,978,1977,0.4946889226100152
0_ALL_STATES,all-surveys,Other,Donald J. Trump,849,1866,0.454983922829582
0_ALL_STATES,all-surveys,Black or African American,Don't know,774,6391,0.1211078078547958
0_ALL_STATES,all-surveys,Black or African American,Wouldn't vote,738,6391,0.1154748865592239
0_ALL_STATES,all-surveys,White,Don't know,724,13290,0.054477050413845
CA,all-surveys,White,Donald J. Trump,717,1339,0.5354742345033607
CA,all-surveys,Hispanic or Latino,Donald J. Trump,695,2004,0.3468063872255489
KY,all-surveys,White,Donald J. Trump,691,1038,0.6657032755298651
0_ALL_STATES,all-surveys,"Native American / American Indian, White",Donald J. Trump,686,1103,0.6219401631912964
0_ALL_STATES,all-surveys,Native American / American Indian,Donald J. Trump,642,1331,0.4823441021788129
CA,all-surveys,Hispanic or Latino,Joe Biden,640,2004,0.3193612774451098
NC,all-surveys,Black or African American,Donald J. Trump,610,1436,0.42479108635097496
OH,all-surveys,White,Donald J. Trump,595,941,0.6323060573857598
0_ALL_STATES,all-surveys,Black or African American,Third-Party Candidate,588,6391,0.09200438116100766
WA,all-surveys,White,Donald J. Trump,536,883,0.6070215175537939
0_ALL_STATES,all-surveys,Hispanic or Latino,Wouldn't vote,535,4842,0.11049153242461793
0_ALL_STATES,all-surveys,Hispanic or Latino,Third-Party Candidate,491,4842,0.10140437835605122
0_ALL_STATES,all-surveys,Hispanic or Latino,Don't know,489,4842,0.10099132589838909
AZ,all-surveys,Hispanic or Latino,Donald J. Trump,488,1371,0.3559445660102115
AZ,all-surveys,Hispanic or Latino,Joe Biden,448,1371,0.3267687819110139
WV,all-surveys,White,Donald J. Trump,438,611,0.7168576104746317
AZ,all-surveys,White,Joe Biden,424,1977,0.2144663631765301
OK,all-surveys,White,Donald J. Trump,374,706,0.5297450424929179
AR,all-surveys,White,Donald J. Trump,347,524,0.6622137404580153
NC,all-surveys,Black or African American,Joe Biden,335,1436,0.23328690807799443
0_ALL_STATES,all-surveys,Other,Wouldn't vote,324,1866,0.17363344051446947
CA,all-surveys,Black or African American,Donald J. Trump,308,906,0.33995584988962474
0_ALL_STATES,all-surveys,"Other, White",Donald J. Trump,301,567,0.5308641975308642
SC,all-surveys,White,Donald J. Trump,293,405,0.7234567901234568
0_ALL_STATES,all-surveys,"Hispanic or Latino, White",Donald J. Trump,283,615,0.46016260162601624
CA,all-surveys,Black or African American,Joe Biden,265,906,0.2924944812362031
AZ,all-surveys,White,Third-Party Candidate,256,1977,0.1294891249367729
CA,all-surveys,Hispanic or Latino,Third-Party Candidate,249,2004,0.12425149700598802
0_ALL_STATES,all-surveys,Other,Joe Biden,238,1866,0.12754555198285103
0_ALL_STATES,all-surveys,Other,Third-Party Candidate,233,1866,0.12486602357984995
CA,all-surveys,White,Joe Biden,221,1339,0.1650485436893204
0_ALL_STATES,all-surveys,Native American / American Indian,Joe Biden,218,1331,0.16378662659654394
CA,all-surveys,Hispanic or Latino,Don't know,210,2004,0.10479041916167664
0_ALL_STATES,all-surveys,"Black or African American, Other",Donald J. Trump,208,451,0.4611973392461197
AZ,all-surveys,Black or African American,Donald J. Trump,206,581,0.35456110154905335
PA,all-surveys,White,Donald J. Trump,203,322,0.6304347826086957
NC,all-surveys,Black or African American,Don't know,202,1436,0.14066852367688024
AL,all-surveys,White,Donald J. Trump,199,325,0.6123076923076923
OH,all-surveys,Black or African American,Donald J. Trump,198,442,0.4479638009049774
AZ,all-surveys,White,Wouldn't vote,191,1977,0.09661102680829539
CA,all-surveys,Hispanic or Latino,Wouldn't vote,190,2004,0.09481037924151696
0_ALL_STATES,all-surveys,Native American / American Indian,Wouldn't vote,189,1331,0.14199849737039819
0_ALL_STATES,all-surveys,Other,Don't know,186,1866,0.09967845659163987
CA,all-surveys,White,Third-Party Candidate,183,1339,0.13666915608663183
OR,all-surveys,White,Donald J. Trump,178,309,0.5760517799352751
AZ,all-surveys,Hispanic or Latino,Wouldn't vote,174,1371,0.12691466083150985
IL,all-surveys,Black or African American,Donald J. Trump,173,307,0.5635179153094463
0_ALL_STATES,all-surveys,"Black or African American, Native American / American Indian",Donald J. Trump,170,393,0.43256997455470736
AZ,all-surveys,Black or African American,Joe Biden,163,581,0.28055077452667815
SC,all-surveys,Black or African American,Donald J. Trump,162,359,0.45125348189415043
0_ALL_STATES,all-surveys,Native American / American Indian,Third-Party Candidate,160,1331,0.12021036814425244
CA,all-surveys,Other,Donald J. Trump,156,383,0.4073107049608355
NC,all-surveys,Black or African American,Wouldn't vote,150,1436,0.10445682451253482
NE,all-surveys,White,Donald J. Trump,149,251,0.5936254980079682
NC,all-surveys,Other,Donald J. Trump,146,316,0.4620253164556962
0_ALL_STATES,all-surveys,"Native American / American Indian, White",Third-Party Candidate,139,1103,0.12601994560290117
TX,all-surveys,White,Donald J. Trump,133,190,0.7
0_ALL_STATES,all-surveys,"Black or African American, White",Donald J. Trump,130,260,0.5
MI,all-surveys,White,Donald J. Trump,127,187,0.679144385026738
AZ,all-surveys,Hispanic or Latino,Don't know,126,1371,0.09190371991247265
0_ALL_STATES,all-surveys,"Hispanic or Latino, Native American / American Indian",Donald J. Trump,124,341,0.36363636363636365
CA,all-surveys,Black or African American,Don't know,122,906,0.1346578366445916
CA,all-surveys,White,Wouldn't vote,120,1339,0.08961911874533234
NC,all-surveys,"Native American / American Indian, White",Donald J. Trump,119,144,0.8263888888888888
NC,all-surveys,Black or African American,Third-Party Candidate,118,1436,0.08217270194986072
0_ALL_STATES,all-surveys,"Hispanic or Latino, White",Joe Biden,117,615,0.1902439024390244
AZ,all-surveys,Hispanic or Latino,Third-Party Candidate,116,1371,0.08460977388767323
0_ALL_STATES,all-surveys,"Black or African American, Hispanic or Latino",Donald J. Trump,114,240,0.475
NC,all-surveys,White,Joe Biden,114,1503,0.07584830339321358
0_ALL_STATES,all-surveys,"Native American / American Indian, White",Joe Biden,110,1103,0.09972801450589303
SD,all-surveys,White,Donald J. Trump,109,189,0.5767195767195767
NC,all-surveys,Native American / American Indian,Donald J. Trump,108,141,0.7659574468085106
NC,all-surveys,White,Wouldn't vote,107,1503,0.07119095143047238
MA,all-surveys,White,Donald J. Trump,106,156,0.6794871794871795
CO,all-surveys,White,Donald J. Trump,104,162,0.6419753086419753
WA,all-surveys,White,Third-Party Candidate,104,883,0.11778029445073612
0_ALL_STATES,all-surveys,"Hispanic or Latino, White",Third-Party Candidate,103,615,0.16747967479674797
AZ,all-surveys,White,Don't know,103,1977,0.05209914011127972
0_ALL_STATES,all-surveys,Native American / American Indian,Don't know,101,1331,0.07588279489105935
VA,all-surveys,White,Donald J. Trump,101,146,0.6917808219178082
KY,all-surveys,White,Joe Biden,100,1038,0.09633911368015415
NY,all-surveys,White,Donald J. Trump,100,168,0.5952380952380952
CA,all-surveys,Black or African American,Third-Party Candidate,98,906,0.10816777041942605
KY,all-surveys,White,Third-Party Candidate,98,1038,0.09441233140655106
CA,all-surveys,Black or African American,Wouldn't vote,97,906,0.10706401766004416
OH,all-surveys,White,Wouldn't vote,97,941,0.1030818278427205
0_ALL_STATES,all-surveys,"Native American / American Indian, Other, White",Donald J. Trump,96,203,0.4729064039408867
KY,all-surveys,White,Wouldn't vote,96,1038,0.09248554913294797
MT,all-surveys,White,Donald J. Trump,96,139,0.6906474820143885
OH,all-surveys,Black or African American,Joe Biden,95,442,0.2149321266968326
OK,all-surveys,White,Joe Biden,95,706,0.13456090651558072
OK,all-surveys,White,Wouldn't vote,95,706,0.13456090651558072
