AREA,AREA_TITLE,NAICS,NAICS_TITLE,I_GROUP,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
48,Texas,11,"Agriculture, Forestry, Fishing and Hunting",sector,00-0000,All Occupations,total,"12,050",0.1,100.00,21.37,"44,450",2.3,10.70,13.73,16.93,24.93,35.59,"22,260","28,570","35,210","51,860","74,030",,
48,Texas,11,"Agriculture, Forestry, Fishing and Hunting",sector,11-0000,Management Occupations,major,"1,320",8.1,10.99,37.94,"78,920",5.9,10.93,14.64,32.95,47.71,65.25,"22,730","30,450","68,540","99,240","135,730",,
48,Texas,11,"Agriculture, Forestry, Fishing and Hunting",sector,11-1021,General and Operations Managers,detailed,850,10.9,7.02,37.09,"77,140",8.0,10.23,14.00,27.21,48.61,68.31,"21,270","29,110","56,590","101,110","142,080",,
48,Texas,11,"Agriculture, Forestry, Fishing and Hunting",sector,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,380,19.3,3.17,37.26,"77,490",6.4,16.79,24.36,34.19,43.53,59.75,"34,930","50,660","71,110","90,550","124,280",,
48,Texas,11,"Agriculture, Forestry, Fishing and Hunting",sector,13-0000,Business and Financial Operations Occupations,major,140,25.5,1.15,32.06,"66,690",8.2,13.14,21.35,25.65,42.00,60.18,"27,320","44,400","53,360","87,360","125,180",,
48,Texas,11,"Agriculture, Forestry, Fishing and Hunting",sector,13-1199,"Business Operations Specialists, All Other",detailed,40,44.9,0.35,33.08,"68,800",18.0,8.77,16.72,31.29,42.46,60.30,"18,250","34,770","65,090","88,320","125,430",,
48,Texas,11,"Agriculture, Forestry, Fishing and Hunting",sector,15-0000,Computer and Mathematical Occupations,major,50,39.0,0.43,32.97,"68,580",11.4,24.86,25.24,27.78,41.07,41.12,"51,700","52,510","57,790","85,430","85,530",,
48,Texas,11,"Agriculture, Forestry, Fishing and Hunting",sector,19-0000,"Life, Physical, and Social Science Occupations",major,180,30.3,1.53,26.62,"55,380",6.0,21.65,23.45,24.03,27.03,30.70,"45,030","48,780","49,990","56,230","63,850",,
48,Texas,11,"Agriculture, Forestry, Fishing and Hunting",sector,19-1029,"Biological Scientists, All Other",detailed,110,43.1,0.90,25.69,"53,430",1.6,23.45,23.45,23.52,27.03,28.86,"48,780","48,780","48,920","56,230","60,040",,
48,Texas,11,"Agriculture, Forestry, Fishing and Hunting",sector,29-0000,Healthcare Practitioners and Technical Occupations,major,60,40.3,0.49,44.74,"93,050",0.9,28.05,40.49,46.70,50.25,51.86,"58,340","84,210","97,140","104,530","107,870",,
48,Texas,11,"Agriculture, Forestry, Fishing and Hunting",sector,29-2056,Veterinary Technologists and Technicians,detailed,50,43.0,0.43,41.81,"86,970",7.2,28.05,39.86,46.70,46.76,50.29,"58,340","82,920","97,140","97,260","104,590",,
48,Texas,11,"Agriculture, Forestry, Fishing and Hunting",sector,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,400,19.1,3.31,23.02,"47,880",6.8,12.20,15.54,22.65,27.46,35.59,"25,370","32,310","47,110","57,110","74,030",,
48,Texas,11,"Agriculture, Forestry, Fishing and Hunting",sector,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,130,23.1,1.06,17.13,"35,630",9.6,11.08,12.20,14.53,25.21,26.28,"23,040","25,370","30,230","52,430","54,650",,
